id,tag,text
187,"['v035_ESV_LEV_025', 187, 'p8', 'verse', 'v35', 'plain_text']","35 “If your brother becomes poor and cannot maintain himself with you, you shall support him as though he were a stranger and a sojourner, and he shall live with you."
188,"[188, 'p8', 'verse', 'v36', 'label']",36
189,"[189, 'p8', 'verse', 'v36', 'note', 'x']",#SeeEx. 22:25
190,"[190, 'p8', 'verse', 'v36', 'content']","Take no interest from him or profit, but"
191,"[191, 'p8', 'verse', 'v36', 'note', 'x']","#ver.17, 43;Neh. 5:9;[Mal. 3:5]"
192,"[192, 'p8', 'verse', 'v36', 'content']","fear your God, that your brother may live beside you."
193,"['v036_ESV_LEV_025', 193, 'p8', 'verse', 'v36', 'plain_text']","36 Take no interest from him or profit, but fear your God, that your brother may live beside you."
194,"[194, 'p8', 'verse', 'v37', 'label']",37
195,"[195, 'p8', 'verse', 'v37', 'note', 'x']",#[See ver.36above]
196,"[196, 'p8', 'verse', 'v37', 'content']","You shall not lend him your money at interest, nor give him your food for profit."
197,"['v037_ESV_LEV_025', 197, 'p8', 'verse', 'v37', 'plain_text']","37 You shall not lend him your money at interest, nor give him your food for profit."
198,"[198, 'p8', 'verse', 'v38', 'label']",38
199,"[199, 'p8', 'verse', 'v38', 'note', 'x']","#ver.42, 55;ch.22:32,33;26:13"
200,"[200, 'p8', 'verse', 'v38', 'content']",I am the
201,"[201, 'p8', 'verse', 'v38', 'nd']",Lord
202,"[202, 'p8', 'verse', 'v38', 'content']","your God, who brought you out of the land of Egypt to give you the land of Canaan, and to be your God."
203,"['v038_ESV_LEV_025', 203, 'p8', 'verse', 'v38', 'plain_text']","38 I am the Lord your God, who brought you out of the land of Egypt to give you the land of Canaan, and to be your God."
204,"[204, 'p9', 'verse', 'v39', 'label']",39
205,"[205, 'p9', 'verse', 'v39', 'note', 'x']",#Ex. 21:2;Deut. 15:12;1 Kgs. 9:22;2 Kgs. 4:1;Neh. 5:5
206,"[206, 'p9', 'verse', 'v39', 'content']","“If your brother becomes poor beside you and sells himself to you, you shall not make him serve as a slave:"
207,"['v039_ESV_LEV_025', 207, 'p9', 'verse', 'v39', 'plain_text']","39 “If your brother becomes poor beside you and sells himself to you, you shall not make him serve as a slave:"
208,"[208, 'p9', 'verse', 'v40', 'label']",40
209,"[209, 'p9', 'verse', 'v40', 'content']",he shall be with you as a hired worker and as a sojourner. He shall serve with you until the year of the jubilee.
210,"['v040_ESV_LEV_025', 210, 'p9', 'verse', 'v40', 'plain_text']",40 he shall be with you as a hired worker and as a sojourner. He shall serve with you until the year of the jubilee.
211,"[211, 'p9', 'verse', 'v41', 'label']",41
212,"[212, 'p9', 'verse', 'v41', 'note', 'x']",#[See ver.28above]
213,"[213, 'p9', 'verse', 'v41', 'content']","Then he shall go out from you,"
214,"[214, 'p9', 'verse', 'v41', 'note', 'x']",#[Ex. 21:3]
215,"[215, 'p9', 'verse', 'v41', 'content']","he and his children with him, and go back to his own clan and return"
216,"[216, 'p9', 'verse', 'v41', 'note', 'x']","#ver.13, 28"
